Colonna X   -   Colonna Y=R(X)
1.6216216   -   0.0324146
1.6366366   -   0.0327216
1.6516517   -   0.0330322
1.6666667   -   0.0333466
1.6816817   -   0.0336647
1.6966967   -   0.0339866
1.7117117   -   0.0343124
1.7267267   -   0.0346421
1.7417417   -   0.0349758
1.7567568   -   0.0353134
1.7717718   -   0.0356552
1.7867868   -   0.0360011
1.8018018   -   0.0363512
1.8168168   -   0.0367056
1.8318318   -   0.0370643
1.8468468   -   0.0374274
1.8618619   -   0.037795
1.8768769   -   0.0381671
1.8918919   -   0.0385438
1.9069069   -   0.0389251
1.9219219   -   0.0393112
1.9369369   -   0.039702
1.951952   -   0.0400978
1.966967   -   0.0404984
1.981982   -   0.0409041
1.996997   -   0.0413149
2.012012   -   0.0417309
2.027027   -   0.0421521
2.042042   -   0.0425786
2.0570571   -   0.0430105
2.0720721   -   0.043448
2.0870871   -   0.043891
2.1021021   -   0.0443396
2.1171171   -   0.044794
2.1321321   -   0.0452543
2.1471471   -   0.0457205
2.1621622   -   0.0461927
2.1771772   -   0.046671
2.1921922   -   0.0471555
2.2072072   -   0.0476463
2.2222222   -   0.0481435
2.2372372   -   0.0486472
2.2522523   -   0.0491576
2.2672673   -   0.0496746
2.2822823   -   0.0501984
2.2972973   -   0.0507292
2.3123123   -   0.051267
2.3273273   -   0.051812
2.3423423   -   0.0523642
2.3573574   -   0.0529238
2.3723724   -   0.0534909
2.3873874   -   0.0540656
2.4024024   -   0.054648
2.4174174   -   0.0552383
2.4324324   -   0.0558366
2.4474474   -   0.056443
2.4624625   -   0.0570577
2.4774775   -   0.0576808
2.4924925   -   0.0583124
2.5075075   -   0.0589526
2.5225225   -   0.0596017
2.5375375   -   0.0602597
2.5525526   -   0.0609269
2.5675676   -   0.0616033
2.5825826   -   0.0622891
2.5975976   -   0.0629845
2.6126126   -   0.0636896
2.6276276   -   0.0644046
2.6426426   -   0.0651296
2.6576577   -   0.0658649
2.6726727   -   0.0666106
2.6876877   -   0.0673669
2.7027027   -   0.068134
2.7177177   -   0.068912
2.7327327   -   0.0697011
2.7477477   -   0.0705016
2.7627628   -   0.0713136
2.7777778   -   0.0721373
2.7927928   -   0.0729729
2.8078078   -   0.0738207
2.8228228   -   0.0746808
2.8378378   -   0.0755535
2.8528529   -   0.076439
2.8678679   -   0.0773374
2.8828829   -   0.0782492
2.8978979   -   0.0791744
2.9129129   -   0.0801133
2.9279279   -   0.0810661
2.9429429   -   0.0820332
2.957958   -   0.0830147
2.972973   -   0.084011
2.987988   -   0.0850223
3.003003   -   0.0860488
3.018018   -   0.0870908
3.033033   -   0.0881487
3.048048   -   0.0892227
3.0630631   -   0.0903131
3.0780781   -   0.0914202
3.0930931   -   0.0925443
3.1081081   -   0.0936858
3.1231231   -   0.0948449
3.1381381   -   0.096022
3.1531532   -   0.0972174
